,year,country,province,region_1,lat,lon,location,avg_temp,min_temp,max_temp
0,2013.0,Italy,Sicily & Sardinia,Etna,39.373062,9.157212,1,21.509345794392523,6.0,38.0
1,2011.0,Portugal,Douro,,39.8862651,-8.2687312,1,19.021028037383182,7.4,38.9
2,2013.0,US,Oregon,Willamette Valley,45.4206749,-122.670649,1,16.36121495327103,0.0,36.1
3,2013.0,US,Michigan,Lake Michigan Shore,41.7075394,-86.8950297,1,16.006103286384974,-7.0,33.6
4,2012.0,US,Oregon,Willamette Valley,45.4206749,-122.670649,1,16.184579439252335,-0.6,38.9
6,2013.0,Italy,Sicily & Sardinia,Vittoria,39.373062,9.157212,1,21.509345794392523,6.0,38.0
7,2012.0,France,Alsace,Alsace,48.684872850000005,2.17560777527428,1,14.992990654205608,0.4,37.3
8,2013.0,Germany,Rheinhessen,,49.9045181,8.2711082,1,13.6107476635514,-3.9,33.0
10,2011.0,US,California,Napa Valley,36.778259,-119.417931,1,22.850000000000005,2.8,41.7
12,2012.0,US,California,Alexander Valley,36.778259,-119.417931,1,24.43598130841121,3.3,43.9
13,2012.0,Italy,Sicily & Sardinia,Etna,39.373062,9.157212,1,21.898130841121496,5.0,41.8
14,2012.0,US,California,Central Coast,36.778259,-119.417931,1,24.43598130841121,3.3,43.9
15,2013.0,Germany,Mosel,,50.7810263,12.4780171,1,13.88271028037383,-5.1,35.2
19,2012.0,US,Virginia,Virginia,47.52326,-92.536571,1,13.01990521327014,-10.6,33.0
21,2013.0,US,Oregon,Oregon,45.4206749,-122.670649,1,16.36121495327103,0.0,36.1
22,2007.0,Italy,Sicily & Sardinia,Sicilia,39.373062,9.157212,1,21.243925233644855,5.0,39.8
23,2011.0,US,California,Paso Robles,36.778259,-119.417931,1,22.850000000000005,2.8,41.7
24,2009.0,Italy,Sicily & Sardinia,Sicilia,39.373062,9.157212,1,21.606542056074773,6.8,38.8
25,2011.0,US,California,Sonoma Coast,36.778259,-119.417931,1,22.850000000000005,2.8,41.7
26,2013.0,Italy,Sicily & Sardinia,Terre Siciliane,39.373062,9.157212,1,21.509345794392523,6.0,38.0
28,2011.0,Italy,Sicily & Sardinia,Cerasuolo di Vittoria,39.373062,9.157212,1,21.28411214953271,5.0,37.2
29,2010.0,US,California,Clarksburg,36.778259,-119.417931,1,22.446948356807514,3.9,43.3
30,2012.0,France,Beaujolais,Beaujolais-Villages,46.1186123,4.6156707,1,16.122598870056496,-2.8,35.8
31,2010.0,Italy,Sicily & Sardinia,Sicilia,39.373062,9.157212,1,20.713551401869157,4.0,37.0
32,2011.0,Italy,Sicily & Sardinia,Sicilia,39.373062,9.157212,1,21.28411214953271,5.0,37.2
33,2010.0,US,California,Dry Creek Valley,36.778259,-119.417931,1,22.446948356807514,3.9,43.3
34,2011.0,US,California,Sonoma Valley,36.778259,-119.417931,1,22.850000000000005,2.8,41.7
35,2010.0,US,Oregon,McMinnville,45.4206749,-122.670649,1,15.20514018691589,1.1,36.7
41,2009.0,US,Oregon,Willamette Valley,45.4206749,-122.670649,1,16.876635514018695,-0.6,41.1
42,2012.0,France,Beaujolais,Beaujolais,46.1186123,4.6156707,1,16.122598870056496,-2.8,35.8
45,2010.0,US,Virginia,Virginia,47.52326,-92.536571,1,13.67196261682243,-7.0,31.0
47,2011.0,US,California,Lake County,36.778259,-119.417931,1,22.850000000000005,2.8,41.7
48,2011.0,US,Virginia,Monticello,47.52326,-92.536571,1,13.007009345794392,-7.0,34.0
49,2011.0,France,Beaujolais,Brouilly,46.1186123,4.6156707,1,17.43793103448276,0.8,37.0
50,2008.0,Italy,Sicily & Sardinia,Sicilia,39.373062,9.157212,1,21.496728971962618,5.0,37.0
52,2010.0,Italy,Sicily & Sardinia,Monica di Sardegna,39.373062,9.157212,1,20.713551401869157,4.0,37.0
53,2011.0,France,Bordeaux,Bordeaux Blanc,44.841225,-0.5800364,1,18.418691588785048,3.1,39.2
