,index,country,province,region_1,year,lat,lon,location
0,0,Italy,Sicily & Sardinia,Etna,2013,40.0473963,8.2869829,1
1,1,Portugal,Douro,,2011,39.8862651,-8.2687312,1
2,2,US,Oregon,Willamette Valley,2013,45.4206749,-122.670649,1
3,3,US,Michigan,Lake Michigan Shore,2013,41.7075394,-86.8950297,1
4,4,US,Oregon,Willamette Valley,2012,45.4206749,-122.670649,1
5,6,Italy,Sicily & Sardinia,Vittoria,2013,40.0473963,8.2869829,1
6,7,France,Alsace,Alsace,2012,48.684872850000005,2.17560777527428,1
7,8,Germany,Rheinhessen,,2013,49.9045181,8.2711082,1
8,10,US,California,Napa Valley,2011,38.628683,-92.5659635,1
9,12,US,California,Alexander Valley,2012,38.628683,-92.5659635,1
10,13,Italy,Sicily & Sardinia,Etna,2012,40.0473963,8.2869829,1
11,14,US,California,Central Coast,2012,38.628683,-92.5659635,1
12,15,Germany,Mosel,,2013,50.7810263,12.4780171,1
13,19,US,Virginia,Virginia,2012,47.52326,-92.536571,1
14,21,US,Oregon,Oregon,2013,45.4206749,-122.670649,1
15,22,Italy,Sicily & Sardinia,Sicilia,2007,40.0473963,8.2869829,1
16,23,US,California,Paso Robles,2011,38.628683,-92.5659635,1
17,24,Italy,Sicily & Sardinia,Sicilia,2009,40.0473963,8.2869829,1
18,25,US,California,Sonoma Coast,2011,38.628683,-92.5659635,1
19,26,Italy,Sicily & Sardinia,Terre Siciliane,2013,40.0473963,8.2869829,1
20,28,Italy,Sicily & Sardinia,Cerasuolo di Vittoria,2011,40.0473963,8.2869829,1
21,29,US,California,Clarksburg,2010,38.628683,-92.5659635,1
22,30,France,Beaujolais,Beaujolais-Villages,2012,46.1186123,4.6156707,1
23,31,Italy,Sicily & Sardinia,Sicilia,2010,40.0473963,8.2869829,1
24,32,Italy,Sicily & Sardinia,Sicilia,2011,40.0473963,8.2869829,1
25,33,US,California,Dry Creek Valley,2010,38.628683,-92.5659635,1
26,34,US,California,Sonoma Valley,2011,38.628683,-92.5659635,1
27,35,US,Oregon,McMinnville,2010,45.4206749,-122.670649,1
28,41,US,Oregon,Willamette Valley,2009,45.4206749,-122.670649,1
29,42,France,Beaujolais,Beaujolais,2012,46.1186123,4.6156707,1
30,45,US,Virginia,Virginia,2010,47.52326,-92.536571,1
31,47,US,California,Lake County,2011,38.628683,-92.5659635,1
32,48,US,Virginia,Monticello,2011,47.52326,-92.536571,1
33,49,France,Beaujolais,Brouilly,2011,46.1186123,4.6156707,1
34,50,Italy,Sicily & Sardinia,Sicilia,2008,40.0473963,8.2869829,1
35,52,Italy,Sicily & Sardinia,Monica di Sardegna,2010,40.0473963,8.2869829,1
36,53,France,Bordeaux,Bordeaux Blanc,2011,44.841225,-0.5800364,1
37,55,US,California,Napa Valley,2010,38.628683,-92.5659635,1
38,56,US,California,North Coast,2010,38.628683,-92.5659635,1
39,59,US,Washington,Columbia Valley (WA),2014,38.8950368,-77.0365427,1
40,60,US,California,Napa Valley,2013,38.628683,-92.5659635,1
41,64,US,California,Santa Ynez Valley,2015,38.628683,-92.5659635,1
42,67,US,Washington,Columbia Valley (WA),2013,38.8950368,-77.0365427,1
43,68,US,California,California,2014,38.628683,-92.5659635,1
44,71,US,California,Alexander Valley,2013,38.628683,-92.5659635,1
45,73,US,California,Howell Mountain,2013,38.628683,-92.5659635,1
46,74,US,California,Calistoga,2012,38.628683,-92.5659635,1
47,76,Germany,Rheinhessen,,2015,49.9045181,8.2711082,1
48,77,Australia,South Australia,South Australia,2016,-34.7411213,138.6564373,0
49,78,US,Oregon,Eola-Amity Hills,2015,45.4206749,-122.670649,1
50,79,Portugal,Tejo,,2014,39.4092271,-8.205826724185737,1
51,81,Spain,Galicia,Rías Baixas,2014,42.8804219,-8.5458608,1
52,83,Australia,South Australia,McLaren Vale,2016,-34.7411213,138.6564373,0
53,84,US,California,Napa Valley,2014,38.628683,-92.5659635,1
54,86,US,Washington,Ancient Lakes,2016,38.8950368,-77.0365427,1
55,87,US,California,Knights Valley,2014,38.628683,-92.5659635,1
56,90,US,California,Sonoma County,2014,38.628683,-92.5659635,1
57,91,US,California,Sonoma Coast,2015,38.628683,-92.5659635,1
58,93,Austria,Burgenland,,2015,47.1863428,16.164464,1
59,97,US,New York,Finger Lakes,2015,40.7127281,-74.0060152,1
60,101,US,New York,Finger Lakes,2014,40.7127281,-74.0060152,1
61,108,US,California,Santa Clara Valley,2014,38.628683,-92.5659635,1
62,110,France,Beaujolais,Brouilly,2015,46.1186123,4.6156707,1
63,111,US,California,Yountville,2013,38.628683,-92.5659635,1
64,114,US,California,Paso Robles,2012,38.628683,-92.5659635,1
65,115,US,California,Paso Robles,2013,38.628683,-92.5659635,1
66,119,France,Alsace,Alsace,2004,48.684872850000005,2.17560777527428,1
67,121,US,California,Alexander Valley,2007,38.628683,-92.5659635,1
68,122,US,California,Rockpile,2007,38.628683,-92.5659635,1
69,123,Australia,South Australia,Padthaway,2006,-34.7411213,138.6564373,0
70,124,US,California,Napa Valley,2006,38.628683,-92.5659635,1
71,125,South Africa,Stellenbosch,,2003,-33.934444,18.869167,0
72,126,France,Alsace,Alsace,2007,48.684872850000005,2.17560777527428,1
73,127,France,Alsace,Alsace,2008,48.684872850000005,2.17560777527428,1
74,129,South Africa,Stellenbosch,,2004,-33.934444,18.869167,0
75,134,US,California,Napa Valley,2007,38.628683,-92.5659635,1
76,142,US,California,Santa Lucia Highlands,2007,38.628683,-92.5659635,1
77,144,US,California,Spring Mountain District,2013,38.628683,-92.5659635,1
78,145,US,California,Santa Lucia Highlands,2013,38.628683,-92.5659635,1
79,146,US,California,Santa Ynez Valley,2010,38.628683,-92.5659635,1
80,147,US,California,Santa Ynez Valley,2012,38.628683,-92.5659635,1
81,148,Germany,Rheinhessen,,2014,49.9045181,8.2711082,1
82,149,US,California,Monterey,2013,38.628683,-92.5659635,1
83,151,Portugal,Alentejano,,2014,38.6976558,-9.35351,1
84,152,US,California,Carmel Valley,2012,38.628683,-92.5659635,1
85,155,US,California,Santa Cruz Mountains,2013,38.628683,-92.5659635,1
86,156,Germany,Mosel,,2014,50.7810263,12.4780171,1
87,157,Portugal,Alentejano,,2013,38.6976558,-9.35351,1
88,162,US,California,Edna Valley,2014,38.628683,-92.5659635,1
89,163,France,Beaujolais,Moulin-à-Vent,2011,46.1186123,4.6156707,1
90,168,US,California,Napa Valley,2012,38.628683,-92.5659635,1
91,169,US,California,Russian River Valley,2014,38.628683,-92.5659635,1
92,173,US,Oregon,Willamette Valley,2014,45.4206749,-122.670649,1
93,174,New Zealand,Marlborough,,2008,-36.7846223,174.723989,0
94,178,US,California,Sonoma Valley,2005,38.628683,-92.5659635,1
95,180,US,California,Santa Lucia Highlands,2006,38.628683,-92.5659635,1
