;country;province;region_1;lat;lon
0;Italy;Sicily & Sardinia;Etna;32.1840381;-96.8847194
1;Portugal;Douro;;-1.6292632;-45.2368151
2;US;Oregon;Willamette Valley;0.0;0.0
3;US;Michigan;Lake Michigan Shore;0.0;0.0
4;US;Oregon;Willamette Valley;0.0;0.0
5;Spain;Northern Spain;Navarra;0.0;0.0
6;Italy;Sicily & Sardinia;Vittoria;32.1840381;-96.8847194
7;France;Alsace;Alsace;48.5813647;7.7421809
8;Germany;Rheinhessen;;31.4399019;-95.350778
9;France;Alsace;Alsace;48.5813647;7.7421809
10;US;California;Napa Valley;0.0;0.0
11;France;Alsace;Alsace;48.5813647;7.7421809
12;US;California;Alexander Valley;0.0;0.0
13;Italy;Sicily & Sardinia;Etna;32.1840381;-96.8847194
14;US;California;Central Coast;0.0;0.0
15;Germany;Mosel;;31.4399019;-95.350778
16;Argentina;Other;Cafayate;0.0;0.0
17;Argentina;Mendoza Province;Mendoza;0.0;0.0
18;Spain;Northern Spain;Ribera del Duero;0.0;0.0
19;US;Virginia;Virginia;0.0;0.0
20;US;Virginia;Virginia;0.0;0.0
21;US;Oregon;Oregon;0.0;0.0
22;Italy;Sicily & Sardinia;Sicilia;32.1840381;-96.8847194
23;US;California;Paso Robles;0.0;0.0
24;Italy;Sicily & Sardinia;Sicilia;32.1840381;-96.8847194
25;US;California;Sonoma Coast;0.0;0.0
26;Italy;Sicily & Sardinia;Terre Siciliane;32.1840381;-96.8847194
27;Italy;Sicily & Sardinia;Terre Siciliane;32.1840381;-96.8847194
28;Italy;Sicily & Sardinia;Cerasuolo di Vittoria;32.1840381;-96.8847194
29;US;California;Clarksburg;0.0;0.0
30;France;Beaujolais;Beaujolais-Villages;0.0;0.0
31;Italy;Sicily & Sardinia;Sicilia;32.1840381;-96.8847194
32;Italy;Sicily & Sardinia;Sicilia;32.1840381;-96.8847194
33;US;California;Dry Creek Valley;0.0;0.0
34;US;California;Sonoma Valley;0.0;0.0
35;US;Oregon;McMinnville;0.0;0.0
36;Chile;Colchagua Valley;;7.308692;-61.8478915
37;Italy;Sicily & Sardinia;Sicilia;32.1840381;-96.8847194
38;Italy;Southern Italy;Puglia;0.0;0.0
39;Italy;Sicily & Sardinia;Sicilia;32.1840381;-96.8847194
40;Italy;Sicily & Sardinia;Sicilia;32.1840381;-96.8847194
41;US;Oregon;Willamette Valley;0.0;0.0
42;France;Beaujolais;Beaujolais;0.0;0.0
43;US;California;Paso Robles;0.0;0.0
44;Chile;Maule Valley;;7.308692;-61.8478915
45;US;Virginia;Virginia;0.0;0.0
46;Italy;Sicily & Sardinia;Sicilia;32.1840381;-96.8847194
47;US;California;Lake County;0.0;0.0
48;US;Virginia;Monticello;0.0;0.0
49;France;Beaujolais;Brouilly;0.0;0.0
50;Italy;Sicily & Sardinia;Sicilia;32.1840381;-96.8847194
51;Chile;Colchagua Valley;;7.308692;-61.8478915
52;Italy;Sicily & Sardinia;Monica di Sardegna;32.1840381;-96.8847194
53;France;Bordeaux;Bordeaux Blanc;44.7936698;-0.668297
54;Italy;Sicily & Sardinia;Sicilia;32.1840381;-96.8847194
55;US;California;Napa Valley;0.0;0.0
56;US;California;North Coast;0.0;0.0
57;Italy;Sicily & Sardinia;Sicilia;32.1840381;-96.8847194
58;Chile;Maipo Valley;;7.308692;-61.8478915
59;US;Washington;Columbia Valley (WA);48.2627925;-124.24959706003952
60;US;California;Napa Valley;0.0;0.0
61;Italy;Central Italy;Romagna;0.0;0.0
62;US;Washington;Columbia Valley (WA);48.2627925;-124.24959706003952
63;France;Champagne;Champagne;48.5813647;7.7421809
64;US;California;Santa Ynez Valley;0.0;0.0
65;France;Burgundy;Chablis;0.0;0.0
66;France;Burgundy;Mâcon-Milly Lamartine;0.0;0.0
67;US;Washington;Columbia Valley (WA);48.2627925;-124.24959706003952
68;US;California;California;0.0;0.0
69;France;Champagne;Champagne;48.5813647;7.7421809
70;US;Washington;Columbia Valley (WA);48.2627925;-124.24959706003952
71;US;California;Alexander Valley;0.0;0.0
72;Italy;Southern Italy;Aglianico del Vulture;0.0;0.0
73;US;California;Howell Mountain;0.0;0.0
74;US;California;Calistoga;0.0;0.0
75;US;California;Napa Valley;0.0;0.0
76;Germany;Rheinhessen;;31.4399019;-95.350778
77;Australia;South Australia;South Australia;-34.7411213;138.6564373
78;US;Oregon;Eola-Amity Hills;0.0;0.0
79;Portugal;Tejo;;-1.6292632;-45.2368151
80;Chile;Rapel Valley;;7.308692;-61.8478915
81;Spain;Galicia;Rías Baixas;0.0;0.0
82;France;France Other;Vin de France;0.0;0.0
83;Australia;South Australia;McLaren Vale;-34.7411213;138.6564373
84;US;California;Napa Valley;0.0;0.0
85;Germany;Rheinhessen;;31.4399019;-95.350778
86;US;Washington;Ancient Lakes;48.2627925;-124.24959706003952
87;US;California;Knights Valley;0.0;0.0
88;Italy;Tuscany;Vernaccia di San Gimignano;0.0;0.0
89;Italy;Tuscany;Toscana;0.0;0.0
90;US;California;Sonoma County;0.0;0.0
91;US;California;Sonoma Coast;0.0;0.0
92;US;California;Napa Valley;0.0;0.0
93;Austria;Burgenland;;25.22539605;55.16431379427327
94;US;Washington;Columbia Valley (WA);48.2627925;-124.24959706003952
95;France;Beaujolais;Juliénas;0.0;0.0
96;France;Beaujolais;Régnié;0.0;0.0
97;US;New York;Finger Lakes;43.0481221;-76.1474244
98;Italy;Tuscany;Morellino di Scansano;0.0;0.0
99;US;California;Napa Valley;0.0;0.0
100;US;New York;Finger Lakes;43.0481221;-76.1474244
101;US;New York;Finger Lakes;43.0481221;-76.1474244
102;US;New York;Finger Lakes;43.0481221;-76.1474244
