;country;province;region_1;lat;lon;temp;tempMin;tempMax;humidity;wind;location
14000;France;Champagne;Champagne;45.831944;-0.906667;18.041428571428582;13.0;22.0;70.71428571428571;2.842857142857143;1
14001;US;California;Howell Mountain;38.628683;-92.5659635;20.167142857142874;12.970000000000027;25.260000000000048;71.42857142857143;3.2128571428571426;1
14002;US;California;Santa Barbara County;38.628683;-92.5659635;20.167142857142874;12.970000000000027;25.260000000000048;71.42857142857143;3.2128571428571426;1
14003;US;California;Santa Cruz Mountains;38.628683;-92.5659635;20.167142857142874;12.970000000000027;25.260000000000048;71.42857142857143;3.2128571428571426;1
14004;US;California;Rockpile;38.628683;-92.5659635;20.167142857142874;12.970000000000027;25.260000000000048;71.42857142857143;3.2128571428571426;1
14005;Portugal;Minho;;41.6347151;-8.1425725;18.502857142857174;14.480000000000018;22.220000000000027;76.42857142857143;2.1485714285714286;1
14006;Argentina;Mendoza Province;Mendoza;;;;;;;;
14007;Argentina;Mendoza Province;Mendoza;;;;;;;;
14008;Israel;Israel;;32.6307267;35.3488686;24.921428571428596;18.620000000000005;28.150000000000034;74.71428571428571;3.3214285714285716;1
14009;US;Oregon;McMinnville;45.4206749;-122.670649;15.427142857142883;10.200000000000045;19.980000000000018;70.85714285714286;1.9385714285714286;1
14010;France;Burgundy;Chorey-lès-Beaune;;;;;;;;
14011;France;Burgundy;Hautes Côtes de Nuits;;;;;;;;
14012;Australia;South Australia;Adelaide Hills;-34.7411213;138.6564373;19.105714285714296;15.800000000000011;22.0;58.357142857142854;4.321428571428571;0
14013;US;Oregon;Willamette Valley;45.4206749;-122.670649;15.427142857142883;10.200000000000045;19.980000000000018;70.85714285714286;1.9385714285714286;1
14014;US;Texas;Texas;40.3606638;-74.3693157;18.731428571428598;10.580000000000041;24.57000000000005;69.57142857142857;2.322857142857143;1
14015;US;Texas;Texas;40.3606638;-74.3693157;18.731428571428598;10.580000000000041;24.57000000000005;69.57142857142857;2.322857142857143;1
14016;Italy;Piedmont;Barbaresco;;;;;;;;
