"word";"in documents";"total"
"accent";4555;4599
"acid";38585;39811
"ad";1154;1161
"add";3466;3519
"addit";1053;1060
"aftertast";2824;2834
"ag";13177;14286
"alcohol";3554;3619
"allow";961;965
"almond";3273;3329
"amount";1052;1060
"ampl";1369;1378
"anis";2635;2651
"appeal";2294;2320
"appear";954;968
"appel";1331;1340
"appl";13820;15358
"approach";1714;1720
"apricot";4313;4398
"aroma";40491;41051
"aromat";3576;3638
"astring";1949;1958
"attract";4286;4335
"auster";1016;1018
"back";1705;1708
"backbon";936;936
"background";1058;1061
"bacon";997;1006
"bake";5763;6052
"balanc";14839;15126
"balsam";1156;1168
"banana";906;948
"barrel";4241;4490
"base";1900;1917
"basic";1004;1020
"bean";1237;1252
"beauti";1808;1837
"beautifulli";1424;1433
"beef";1177;1236
"berri";17706;19341
"big";4005;4127
"bit";5702;5885
"bitter";4103;4190
"black";24481;29051
"blackberri";14400;15064
"blanc";2909;3114
"blend";14692;15037
"blossom";2116;2135
"blue";1798;1820
"blueberri";3357;3514
"boast";1337;1341
"bodi";14641;14759
"bold";2556;2590
"bone";1152;1159
"bordeaux";1458;1490
"bottl";6749;6964
"bouquet";2220;2223
"boysenberri";1224;1256
"brace";1040;1045
"brambl";1327;1331
"bright";11063;11369
"brighten";903;903
"bring";3686;3779
"brisk";2135;2154
"broad";1128;1128
"brown";1134;1160
"bubbl";974;1021
"burst";1259;1261
"butter";2384;2487
"cab";1767;1866
"cabernet";9289;10965
"california";981;995
"candi";3711;3829
"caramel";2978;3039
"carri";2614;2632
"case";908;913
"cassi";4388;4545
"cedar";3014;3048
"cellar";2288;2315
"chalki";1074;1079
"char";1703;1785
"charact";8148;8470
"chardonnai";4854;4999
"cherri";31325;33587
"chewi";2038;2059
"chocol";8396;8640
"chop";1004;1015
"chunki";1366;1381
"cinnamon";3623;3658
"citru";11251;11768
"citrusi";1284;1307
"classic";2038;2054
"clean";5728;5815
"close";1350;1363
"clove";4060;4157
"cocoa";1677;1693
"coconut";1135;1170
"coffe";4094;4231
"cola";4175;4217
"color";5190;5253
"combin";2445;2460
"come";7712;7894
"complex";8258;8401
"concentr";9297;9428
"continu";1086;1093
"cool";2069;2134
"core";3681;3702
"cranberri";3350;3475
"cream";1361;1380
