"variety";"acid";"aftertast";"ag";"alcohol";"appl";"apricot";"aroma";"attract";"bake";"balanc";"barrel";"base";"berri";"berri_fruit";"big";"bit";"bitter";"black";"black_cherri";"black_currant";"black_fruit";"black_plum";"blackberri";"blend";"blueberri";"bodi";"bordeaux";"bottl";"bright";"bring";"cabernet";"cabernet_franc";"cabernet_sauvignon";"candi";"carri";"cassi";"cedar";"charact";"chardonnai";"cherri";"cherri_flavor";"chocol";"cinnamon";"citru";"clean";"coffe";"cola";"color";"come";"complex";"concentr";"cranberri";"creami";"crisp";"crisp_acid";"crush";"currant";"cut";"dark";"delici";"deliv";"dens";"domin";"dri";"drink";"dry";"earth";"earthi";"easi";"edg";"eleg";"end";"estat";"exot";"feel";"fine";"finish";"firm";"flavor";"flavor_finish";"floral";"flower";"follow";"franc";"fresh";"fruit";"fruit_flavor";"fruiti";"full";"full_bodi";"gener";"give";"go";"good";"grape";"grapefruit";"great";"green";"green_appl";"herb";"herbal";"hint";"honei";"impress";"integr";"intens";"jammi";"juici";"keep";"layer";"lead";"leather";"leav";"lemon";"licoric";"light";"lime";"linger";"live";"lush";"made";"make";"medium";"melon";"merlot";"miner";"mix";"mouth";"mouthfeel";"nice";"nose";"note";"oak";"oaki";"offer";"oliv";"open";"orang";"pack";"palat";"palat_offer";"peach";"pear";"pepper";"perfum";"petit";"petit_verdot";"pineappl";"pink";"pinot";"plum";"power";"produc";"raspberri";"readi";"readi_drink";"red";"red_berri";"red_fruit";"refresh";"rich";"ripe";"round";"sage";"sauvignon";"savori";"scent";"show";"side";"skin";"slightli";"smoke";"smoki";"smooth";"soft";"solid";"sour";"spice";"spici";"stone";"strawberri";"strong";"structur";"style";"sugar";"suggest";"sweet";"syrah";"tangi";"tannic";"tannin";"tart";"tast";"textur";"thick";"time";"toast";"toasti";"tobacco";"tone";"touch";"tropic";"tropic_fruit";"vanilla";"verdot";"vineyard";"vintag";"violet";"white";"white_flower";"wild";"wood";"year";"yellow";"young"
"Chardonnay";0.0;0.0;0.0;0.0;0.2538052593502748;0.0;0.12285868943251187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2404766726561838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27233489081403117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3230126971339147;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21008627307105843;0.0;0.0;0.0;0.21008627307105843;0.2867328180468692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26579808417796336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2906541333579014;0.0;0.0;0.0;0.0;0.0;0.0;0.3177519324584125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23088597337537511;0.0;0.0;0.0;0.0;0.0;0.0;0.3285433600410344;0.0;0.1353481723802988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27929371085469834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Viognier";0.11641765601145457;0.0;0.0;0.0;0.0;0.34487575776532325;0.0;0.0;0.0;0.23433605893340556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24771515289320592;0.3794900244827544;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.35249954610452194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1722087603191293;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2938052772888468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3249021393291061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19516444450581644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26647131256502987;0.0;0.0;0.0;0.0;0.0;0.0;0.23948083418679747;0.0;0.3081831564235409;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Gelber Muskateller";0.0;0.0;0.19742383916573664;0.0;0.0;0.0;0.09449572942929504;0.0;0.0;0.18891050995493636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2980224088750297;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10483259479440839;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24844250391715392;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06001023004735523;0.0;0.0;0.0;0.0;0.0;0.2299367305171502;0.0;0.0;0.2526963668555415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5816127374474112;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2526963668555415;0.2669482773171577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14106800244839973;0.0;0.0;0.0;0.0;0.0;0.24844250391715392;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1793675635881418;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21762794110078645;0.0;0.0
"Zinfandel";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2951548044230497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.37232880467917934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3047257729699241;0.2578544195382734;0.35192839246113583;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2921123549897833;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20653724931630674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39645737108576357;0.0;0.0;0.2510662279409344;0.0;0.0;0.0;0.0;0.0;0.3779611747664042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Sangiovese Grosso";0.13055843612135132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2913927075395554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25730507220699633;0.0;0.0;0.0;0.0;0.0;0.14583622878689348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2913927075395554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3577723308543741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3515346085121148;0.37136093141108245;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24223545310931874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24952438782697342;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3515346085121148;0.0;0.0;0.0;0.0;0.0;0.30274971511520515;0.0;0.0
"Bordeaux-style White Blend";0.0;0.0;0.19924524243285183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18666703306429086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23205809293196036;0.23903690554877127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10579976487612482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10946371362394983;0.0;0.0;0.0;0.0;0.0;0.0;0.12112775118509217;0.2354747822238351;0.0;0.16307686250207468;0.22257279192937082;0.0;0.0;0.0;0.22257279192937082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25502770632358024;0.2694111028123506;0.0;0.0;0.0;0.0;0.14010724911045477;0.26124389621573046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25073459787215546;0.2934893054568252;0.0;0.0;0.0;0.0;0.0;0.18102238231578122;0.0;0.0;0.23205809293196036;0.2196357444370581;0.2934893054568252;0.0
"Merlot";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38870726951840645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16490032438756158;0.0;0.10063867002667573;0.527337474012612;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4266988039859362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5159323266028399;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2919649863953444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Tempranillo";0.0;0.0;0.0;0.0;0.0;0.0;0.0980184565754407;0.0;0.24568139472166609;0.0;0.0;0.0;0.1771779473983302;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29476182635267023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1771779473983302;0.30164740350445246;0.0;0.0;0.0;0.0;0.29476182635267023;0.0;0.0;0.22282460113855404;0.0;0.09217308304067717;0.0;0.056253233727245416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28245174929491024;0.2287596294922171;0.0;0.0;0.0;0.0;0.0;0.0;0.257704246834967;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26676775780803946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10798274845924623;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2621166904683716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3091324520086648;0.0;0.0;0.3091324520086648;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Bordeaux-style Red Blend";0.0;0.0;0.0;0.0;0.0;0.0;0.11626431841934502;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22293038381008043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22756922258625736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06672461602319303;0.0;0.0;0.0;0.0;0.0;0.0;0.07383453767468214;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.271342595405022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3222580967920446;0.32844404401069005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12808343539871123;0.0;0.0;0.0;0.0;0.0;0.342069170602137;0.37640174759669004;0.0;0.0;0.0;0.225223443890092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3496309168116531;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.37640174759669004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Cabernet Sauvignon-Merlot";0.0;0.0;0.0;0.0;0.0;0.0;0.1606643145626863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48315091305021807;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47270142357515005;0.0;0.0;0.0;0.3909449392521467;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09220597379807126;0.0;0.0;0.0;0.0;0.0;0.0;0.10203109215132893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4224089791269715;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27976962775426645;0.0;0.0;0.0;0.0;0.0;0.0;0.17699701537788431;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23984781171574449;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
